Store Identifier,Store Name,Store Type,City,State,Region,City Tier,Postal Code,Store Opening Date,Store Status,Warehouse Identifier,Warehouse City,Fulfilment Type,Average Delivery SLA Days,Delivery Zone,Last Mile Partner,Store Area SqFt,Storage Capacity Units,Parking Capacity,Floor Count
STORE1071,NorthPeak Store #72,Compact,Chicago,IL,Midwest,Tier 1,60601,28-04-2015,Active,WH60,Chicago,Central Warehouse,2,Regional,Ecom Express,25954,15703,75,3
STORE1072,NorthPeak Store #73,Flagship,Boston,MA,Northeast,Tier 3,2108,04-12-2018,Active,WH77,Boston,Hybrid,5,Local,Shadowfax,445192,8283,96,1
STORE1073,NorthPeak Store #74,Large Format,Miami,FL,South,Tier 3,33101,01-04-2020,Active,WH86,Miami,Hybrid,4,Local,Blue Dart,257353,2009,310,3
STORE1074,NorthPeak Store #75,Large Format,Chicago,IL,Midwest,Tier 2,60601,06-04-2018,Active,WH93,Chicago,Store Pickup,6,Local,Delhivery,262754,16231,87,3
STORE1075,NorthPeak Store #76,Large Format,Miami,FL,South,Tier 1,33101,24-05-2019,Active,WH69,Miami,Central Warehouse,7,Local,Shadowfax,378978,7256,467,3
STORE1076,NorthPeak Store #77,Flagship,Phoenix,AZ,West,Tier 1,85001,14-04-2024,Active,WH69,Phoenix,Store Pickup,4,Local,Delhivery,398245,17524,54,3
STORE1077,NorthPeak Store #78,Large Format,Miami,FL,South,Tier 3,33101,12-05-2015,Active,WH51,Miami,Store Pickup,3,National,Shadowfax,54711,13954,174,2
STORE1078,NorthPeak Store #79,Compact,Los Angeles,CA,West,Tier 1,90001,30-12-2020,Active,WH34,Los Angeles,Store Pickup,2,National,Ecom Express,426597,5687,153,3
STORE1079,NorthPeak Store #80,Compact,Houston,TX,South,Tier 2,77001,28-07-2019,Active,WH16,Houston,Hybrid,3,National,Ecom Express,348468,7408,280,3
STORE1080,NorthPeak Store #81,Flagship,Dallas,TX,South,Tier 1,75201,25-01-2018,Active,WH36,Dallas,Hybrid,2,Regional,Shadowfax,296173,6612,172,2
STORE1081,NorthPeak Store #82,Large Format,San Francisco,CA,West,Tier 1,94105,05-11-2023,Active,WH97,San Francisco,Hybrid,6,Local,Delhivery,29382,4891,222,2
STORE1082,NorthPeak Store #83,Large Format,Phoenix,AZ,West,Tier 1,85001,08-03-2024,Active,WH29,Phoenix,Hybrid,7,Regional,Shadowfax,91325,13397,249,3
STORE1083,NorthPeak Store #84,Large Format,Miami,FL,South,Tier 3,33101,29-12-2015,Renovation,WH22,Miami,Central Warehouse,3,Local,Delhivery,203014,2827,220,1
STORE1084,NorthPeak Store #85,Compact,Phoenix,AZ,West,Tier 1,85001,26-08-2016,Active,WH18,Phoenix,Central Warehouse,4,Local,Blue Dart,190399,5368,263,3
STORE1085,NorthPeak Store #86,Large Format,Chicago,IL,Midwest,Tier 1,60601,08-07-2024,Active,WH45,Chicago,Central Warehouse,2,Local,Ecom Express,199245,6662,420,3
STORE1086,NorthPeak Store #87,Flagship,Seattle,WA,West,Tier 3,98101,14-10-2023,Active,WH61,Seattle,Store Pickup,6,Regional,Delhivery,55738,18920,139,3
STORE1087,NorthPeak Store #88,Large Format,San Francisco,CA,West,Tier 2,94105,26-12-2023,Active,WH43,San Francisco,Hybrid,2,National,Ecom Express,216579,15490,231,1
STORE1088,NorthPeak Store #89,Large Format,Phoenix,AZ,West,Tier 2,85001,30-03-2018,Active,WH38,Phoenix,Hybrid,4,Regional,Blue Dart,156467,18241,98,3
STORE1089,NorthPeak Store #90,Flagship,Chicago,IL,Midwest,Tier 3,60601,08-12-2015,Renovation,WH72,Chicago,Store Pickup,2,National,Delhivery,16759,11181,264,3
STORE1090,NorthPeak Store #91,Flagship,Dallas,TX,South,Tier 3,75201,13-10-2015,Renovation,WH49,Dallas,Hybrid,3,Local,Blue Dart,315402,17534,243,2
STORE1091,NorthPeak Store #92,Large Format,Dallas,TX,South,Tier 3,75201,04-08-2017,Active,WH13,Dallas,Store Pickup,6,National,Ecom Express,325914,15087,315,2
STORE1092,NorthPeak Store #93,Large Format,Chicago,IL,Midwest,Tier 3,60601,04-11-2020,Active,WH41,Chicago,Central Warehouse,6,Local,Delhivery,222606,16295,492,3
STORE1093,NorthPeak Store #94,Large Format,Seattle,WA,West,Tier 2,98101,24-01-2024,Active,WH76,Seattle,Hybrid,2,National,Shadowfax,342073,9970,145,2
STORE1094,NorthPeak Store #95,Compact,Houston,TX,South,Tier 3,77001,27-03-2016,Renovation,WH46,Houston,Central Warehouse,6,Regional,Ecom Express,81358,19327,56,2
STORE1095,NorthPeak Store #96,Flagship,New York City,NY,Northeast,Tier 2,10001,23-08-2023,Active,WH28,New York City,Store Pickup,5,Regional,Blue Dart,275910,6841,435,3
STORE1096,NorthPeak Store #97,Flagship,New York City,NY,Northeast,Tier 2,10001,24-10-2019,Active,WH62,New York City,Hybrid,5,Regional,Blue Dart,425987,14880,251,2
STORE1097,NorthPeak Store #98,Compact,Miami,FL,South,Tier 3,33101,05-01-2017,Active,WH90,Miami,Central Warehouse,2,Regional,Delhivery,376752,19685,284,2
STORE1098,NorthPeak Store #99,Large Format,Phoenix,AZ,West,Tier 1,85001,07-09-2020,Active,WH96,Phoenix,Store Pickup,4,Regional,Blue Dart,338412,7475,90,2
STORE1099,NorthPeak Store #100,Flagship,Miami,FL,South,Tier 1,33101,04-05-2023,Active,WH85,Miami,Hybrid,6,Regional,Blue Dart,207468,9992,336,2
